,name,studio,theme,tags,source,rating,year,synopsis,demographic,status,eps,eps_avg_duration_in_min,rated_by
264,Kannagi,A-1 Pictures,"School, Visual Arts","Comedy, Supernatural",Manga,7.29,2008.0,"Based on a shounen manga by Takenashi Eri, serialised in Comic REX.

Our unlucky protagonist, Jin, uses the trunk of a sacred tree to carve a statue for a school project. When he takes it outside, to his surprise it begins absorbing the surrounding earth and transforms into, hold your breath on this one, a girl! So like all similar setups this guardian deity is pretty pissed that her tree was cut down and lives with Jin while she takes out her anger on squashing bugs....er, cleaning the ""Impurities.""





StudiosA-1 PicturesOrdet

SourceManga

ThemesSchoolVisual Arts
DemographicShounen",Shounen,Finished,13.0,23.0,155K
265,Boku no Hero Academia 6th Season,Unknown,"School, Super Power",Action,Manga,,2022.0,"Sixth season of Boku no Hero Academia.





StudioUnknown

SourceManga

ThemesSchoolSuper Power
DemographicShounen",Shounen,Not,,,154K
266,Joshiraku,J.C.Staff,"Gag Humor, Performing Arts","Comedy, Slice, of, Life",Manga,7.47,2012.0,"Joshiraku follows the conversations of five rakugo storyteller girls relating the odd things that happen to them each day. Their comedic and satirical chatting covers all kinds of topics, from pointless observations of everyday life, to politics, manga, and more. Each girl has something new to add to the discussion, and the discourse never ends in the same place it began.

Each of the rakugo girls has their own unique personality, with the energetic but immature Marii Buratei; the seemingly cute Kigurumi Haroukitei; the inherently lucky and carefree Tetora Bouhatei; the calm and violent Gankyou Kuurubiyuutei; and the pessimistic and unstable Kukuru Anrakutei. These girls—and their mysterious friend in a wrestling mask—give their observations to the audience, either backstage at the rakugo theater or in various famous locations around Tokyo.

[Written by MAL Rewrite]





StudioJ.C.Staff

SourceManga

ThemesGag HumorPerforming Arts
DemographicShounen",Shounen,Finished,13.0,24.0,154K
267,Midori no Hibi,Studio Pierrot,Shounen,"Comedy, Drama, Romance, Ecchi",Manga,7.25,2004.0,"There isn't a single person in Sakuradamon High who hasn't heard the legends about Seiji ""The Mad Dog"" Sawamura's demonically powerful right hand. His reputation makes it fairly difficult for him to approach girls, and after being rejected 20 times straight, he half-jokingly vows to finish high school with his right hand for a girlfriend.

Much to his surprise, after waking up the next morning, Seiji discovers that his demon right hand has mysteriously turned into a miniature girl, Midori Kasugano, who reveals that she has had a crush on Seiji for the past three years. Because their situation is not ideal for either of them, Seiji attempts to return Midori to normal. But after causing a big misunderstanding at the Kasugano household, the pair decide to keep their predicament between them until a solution is found. Thus begins an odd relationship, and what could be the only chance for Midori to finally be with the one she loves.

[Written by MAL Rewrite]





StudioStudio Pierrot

SourceManga

DemographicShounen",Shounen,Finished,13.0,24.0,152K
268,Nurarihyon no Mago: Sennen Makyou,Studio Deen,Mythology,"Action, Supernatural",Manga,7.96,2011.0,"Long before Rikuo Nura was born, the legendary youkai Nurarihyon, leader of a ""Night Parade of One Hundred Demons,"" fell in love with a human woman. Though the two would initially find happiness, a threat from the terrifying fox-demon Hagoromo Gitsune would get in the way of their relationship. 

In the present, Rikuo has taken his rightful place as the heir to the Nura Clan. While he has accepted his youkai side, he must continue to maintain the secret of youkai, a difficult task when faced with the Keikain onmyouji clan and his youkai-obsessed friend, Kiyotsugu. Even so, Rikuo will do what he must to protect those important to him.

The reappearance of the sinister Hagoromo Gitsune marks the start of Rikuo's most fearsome trial yet. The frightening creature bears a personal vendetta against his family and will stop at nothing to see her dream come to fruition. The world stands at a precipice, an all-out war that will drag Rikuo centerstage.

[Written by MAL Rewrite]





StudioStudio Deen

SourceManga

ThemeMythology
DemographicShounen",Shounen,Finished,24.0,23.0,151K
269,Okusama ga Seitokaichou!+!,Seven,School,"Comedy, Romance, Ecchi",Manga,6.6,2016.0,"The story begins with Izumi Hayato running to be student council president. But when a beautiful girl swings in promising the liberalization of love while flinging condoms into the audience, he ends up losing to her and becoming the vice president. At the student council meeting, the newly-elected president invites herself over to Izumi's house, where she promptly announces she is to become Izumi's wife thanks to an agreement—facilitated by alcohol—made between their parents when they were only 3.

(Source: MAL Scanlations)





StudioSeven

SourceManga

ThemeSchool
DemographicShounen",Shounen,Finished,12.0,8.0,149K
270,School Rumble Ni Gakki,Studio Comet,"Gag Humor, Love Polygon, School","Comedy, Romance",Manga,8.0,2006.0,"Continuing right where season 1 left off: Harima still likes Tenma but still runs into obstacles everytime he tries to confess his love to her. To complicate the situation, Class 2-D challenges class 2-C once again and there's a rumor floating around that Harima and Yakumo are dating as the school prepares for the cultural festival.

(Source: ANN)





StudioStudio Comet

SourceManga

ThemesGag HumorLove PolygonSchool
DemographicShounen",Shounen,Finished,26.0,24.0,149K
271,Aria the Animation,Hal Film Maker,Iyashikei,"Fantasy, Sci-Fi, Slice, of, Life",Manga,7.68,2005.0,"Drift peacefully into Neo Venezia, a city on the planet Aqua (formerly known as Mars). By the 24th century, humans have found a way to colonize the previously uninhabitable planet. As futuristic as that sounds, Neo Venezia is still teeming with rustic beauty; gondolas on wide canals and waterways are the main mode of transportation. The city itself is a faithful replication of Manhome's (the planet formerly known as Earth) Venice.

To make sure that residents and tourists alike get the most from Neo Venezia's many wonders, companies offering guided tours via gondola were formed, one of which is named Aria Company.

This is the workplace of Akari Mizunashi, a free spirited teenager from Manhome who is now a novice Undine (the title given to tour guides). Join Akari as she becomes intimately acquainted with other Undine, tourists, Neo Venezia's residents, and even the city itself, learning many valuable life lessons along the way, such as the wonderful truth that there are such things as manmade miracles.

[Written by MAL Rewrite]





StudioHal Film Maker

SourceManga

ThemeIyashikei
DemographicShounen",Shounen,Finished,13.0,24.0,147K
272,Peach Boy Riverside,Asahi Production,Shounen,Fantasy,Manga,6.28,2021.0,"In a magical world where humans, demihumans, and oni are heavily at odds with each other, a princess named Saltorine ""Sally"" Aldike is on a journey to find a person named Mikoto Kibitsu. Traversing the world, Sally comes across many truths that she had been ignorant of due to her lineage—including the knowledge that the oni possess power potent enough to wipe out humanity.

Seemingly blessed with a way to counter the oni's might, Sally has a strange power that manifests itself as a sigil resembling a peach, giving her superhuman abilities capable of defeating powerful oni with ease. Even so, Sally refuses to discriminate between humans, demihumans, and oni as much as possible, believing that peace between the three factions could be attainable one day.

On the contrary, Mikoto—who also has the same ability as Sally's but with greater mastery—has a different goal. Mikoto is out to kill and torment all oni in existence, stopping at nothing to fulfill this objective. As Sally and Mikoto continue to cross paths, the power they possess will spell the difference between amicable coexistence and utter annihilation.

[Written by MAL Rewrite]





StudioAsahi Production

SourceManga

DemographicShounen",Shounen,Finished,12.0,23.0,147K
273,"Ore, Twintail ni Narimasu.",Production IMS,"Magical Sex Shift, School","Action, Comedy, Fantasy, Romance",Light novel,6.45,2014.0,"Twintails: the glory of all mankind—or at least that is what first-year high school student Souji Mitsuka believes. At school, Souji spends most of his time daydreaming and rating girls' twintails, even going as far as creating a club dedicated to the hairstyle. His obsession does not go unnoticed, however; when monsters from outer space attack Earth and claim the world's twintails for themselves, a strange woman named Twoearle enlists Souji to fight back using twintails of his own!

By transforming into the twin-tailed warrior Tail Red, Souji combats the vicious alien organization known as Ultimegil, whose main goal is to colonize Earth and steal everyone's spiritual energy, or ""attribute power."" Alongside fellow twin-tailed fighters Aika Tsube and Erina Shindou, Souji must find a way to defeat the invading army and defend the twintails he holds so dear.

[Written by MAL Rewrite]





StudioProduction IMS

SourceLight novel

ThemesMagical Sex ShiftSchool
DemographicShounen",Shounen,Finished,12.0,24.0,146K
274,Dagashi Kashi 2,Tezuka Productions,Shounen,"Comedy, Gourmet, Slice, of, Life",Manga,6.84,2018.0,"Second season of Dagashi Kashi.





StudioTezuka Productions

SourceManga

DemographicShounen",Shounen,Finished,12.0,12.0,145K
275,Denpa Kyoushi (TV),A-1 Pictures,"Otaku Culture, School","Comedy, Romance",Manga,6.88,2015.0,"Junichirou Kagami is a young published physicist, a genius, and a hopeless otaku. At the mercy of YD, a self-diagnosed illness which causes him to only be able to do what he ""Yearns to Do,"" Junichirou foregoes his scientific career to maintain and improve his anime blog. However, when he gets hired as a high school physics teacher; his sister Suzune, no longer willing to tolerate his NEET lifestyle, forces him to take the position. 

Despite the fact that Junichirou has no motivation to teach the standard curriculum, he may still have something of value to teach his students outside of academics. With his class in tow, Junichirou embarks on an unlikely journey filled with life lessons such as acceptance of others, how to make lasting friends, and what it means to live a better life by doing what you yearn to do.

[Written by MAL Rewrite]





StudioA-1 Pictures

SourceManga

ThemesOtaku CultureSchool
DemographicShounen",Shounen,Finished,24.0,23.0,144K
276,Triage X,Xebec,Shounen,"Action, Adventure, Ecchi",Manga,6.32,2015.0,"In a deadly terrorist attack, Arashi Mikami narrowly escapes death but loses everything in the process, including his family and best friend. However, the surgeon that rescues him is far from just an ordinary doctor—he commands a strike team known as Black Label whose task is to exterminate deadly criminals who have fallen too far. Filled with a new determination, Arashi joins the ranks of the vigilante organization.

Black Label's targets are aplenty, as evil scum lurks everywhere—dangerous arms dealers, corrupt politicians, and shady gangsters all find themselves hunted by the extermination team. Although haunted by their dark and sinister past, all of the hunters are highly skilled at slaying their targets. In spite of the perilous lives the members live, Arashi and the gorgeous ladies surrounding him still manage to get caught up in a variety of sultry moments and racy hijinks. Though they face strong opposition, nothing can stop Black Label's objective of cleansing the world of ghastly evil.

[Written by MAL Rewrite]





StudioXebec

SourceManga

DemographicShounen",Shounen,Finished,10.0,23.0,144K
277,Digimon Frontier,Toei Animation,Isekai,"Action, Adventure, Comedy, Drama, Fantasy",Original,7.15,2002.0,"With five new kids and an exciting new mission in the Digital World, Digimon Frontier brings back all the great action and adventure of the last three seasons. Takuya, Kouji, Izumi, Junpei. and Tomoki meet each other in a train that takes them to the Digital World where a war against evil is being fought. The Angel digimon, Cherubimon, one of The three angels sent to save the World from the power-hungry Lucemon, has turned to the dark side and the entire Digital World is in peril. To fight this great battle, the five CHOSEN ONES must find the Densetsu no Spirit (Legendary Spirit).





StudioToei Animation

SourceOriginal

ThemeIsekai
DemographicShounen",Shounen,Finished,50.0,23.0,143K
278,Yozakura Quartet,Nomad,Super Power,"Action, Comedy, Supernatural",Manga,6.81,2008.0,"The world of Yozakura Quartet is actually not one, but two worlds: one of humans, and one of youkai. Despite appearing mostly human, youkai may have animal like physical traits, along with a number of special abilities. Normally youkai are confined to their world, but some have found their way into the realm of humanity. As a symbol of peace, and a bridge between the two realms, a city was constructed within the protective barrier of seven magical trees, otherwise known as the Seven Pillars. This city of Sakurashin is home to both humans and youkai, with the peace between them maintained by the Hizumi Life Counseling Office.

The director of this office is Akina Hiizumi, a teenager with the inherited family ability to perform “tuning,” which can send harmful youkai back to their world permanently. He is aided by a group of girls, including the town’s 16 year old youkai mayor, Hime Yarizakura, their town’s announcer and resident telepath, Ao Nanami, and Kotoha Isone, a half-youkai who can summon objects just by stating the object’s name.

As new residents enter and mysterious events begin to take place, this quartet of protectors and their closest friends must continue to guard the city of Sakurashin, and maintain the fragile balance of peace between humans and youkai.





StudioNomad

SourceManga

ThemeSuper Power
DemographicShounen",Shounen,Finished,12.0,24.0,141K
279,Megami-ryou no Ryoubo-kun.,asread.,Harem,"Comedy, Romance, Ecchi",Manga,6.53,2021.0,"Twelve-year-old Koushi Nagumo's life suddenly goes downhill when his father abandons him after their house burns down. Left to fend for himself, Koushi collapses on the street, but an eccentric woman named Mineru Wachi takes pity on him and brings him to the female dormitory ""Megami-ryou.""

After learning of Koushi's situation, Mineru, who happens to be the temporary manager, invites him to become Megami-ryou's official dormitory mother. However, what awaits him are the dorm's residents—each with their own wacky shenanigans—like the androphobic yet gentle Atena Saotome, the feminine tomboy Kiriya Senshou, and Mineru herself, whose recklessness knows no bounds when it comes to science. Despite this, Koushi does his best to fulfill the duties of this crazy new life!

[Written by MAL Rewrite]





Studioasread.

SourceManga

ThemeHarem
DemographicShounen",Shounen,Finished,10.0,25.0,140K
280,Kimi no Iru Machi,Gonzo,Love Polygon,"Drama, Romance, Slice, of, Life",Manga,6.86,2013.0,"Haruto Kirishima lived a calm life out in the countryside, away from the fast-paced life of the city. Then Yuzuki Eba appeared in his life out of nowhere, having come from Tokyo to briefly live with her family. Their time together left him enamored with the memories of that short period before she just as abruptly disappeared from his life, and left him full of questions.

Kimi no Iru Machi begins some time later, after Haruto moves to Tokyo to live with his sister, in order to pursue a career as a cook. In reality though he wishes to be with Yuzuki. Things don't start good though. When he arrives he is mistaken for a burglar and attacked by his sister's neighbour Mishima Asuka. After the misunderstanding is cleared his feelings begin to waver though. Is Eba, who keeps avoiding him for seemingly no reason, the one for him or is it Asuka? 





StudioGonzo

SourceManga

ThemeLove Polygon
DemographicShounen",Shounen,Finished,12.0,20.0,140K
281,DearS,Daume,Harem,"Comedy, Romance, Sci-Fi, Ecchi",Manga,6.58,2004.0,"One year ago, a UFO containing 150 aliens crash-landed off the shores of Kasai. Because no one could fix their ship, the Japanese Government decided to bestow upon them the designation ""DearS"" and make them into Japanese citizens, teaching them the language, customs, and culture of Japan. However, in order for them to become more familiar with human society, a home-stay program has been enacted to allow them to mingle with other humans.

One misty morning, a truck carrying a capsule that housed one of these aliens ends up dropping it into the riverbank, releasing her from her confinement. She is eventually found by a high school student named Takeya Ikuhara, who saves her from being hit by a truck and takes pity on her, despite being extremely distrustful of their race and wanting nothing to do with them. Upon being named Ren, she imprints upon him as her ""Master"" and serves as his personal ""Slave,"" leaving him with a ""DearS"" who wants to remain with him no matter what and bringing his ordinary, alien-free days to an end.





StudioDaume

SourceManga

ThemeHarem
DemographicShounen",Shounen,Finished,12.0,23.0,139K
282,Baby Steps,Studio Pierrot,School,Sports,Manga,7.82,2014.0,"Diligent and methodical honor student Eiichirou Maruo decides to exercise more during the little free time he has available because he is worried about his health. For this reason, after seeing a flyer, he joins the Southern Tennis Club at the beginning of his freshman year.

During his free trial at the club, he meets Natsu Takasaki, another first year student, who is determined on becoming a professional tennis player due to her love for the sport. In contrast, Eiichirou's study-oriented life exists because he believes that it is what he has to do, not because he enjoys it. However, his monotonous days come to an end as the more he plays tennis, the more he becomes fascinated by it.

Baby Steps is the story of a boy who makes the most of his hard-working and perfectionist nature to develop his own unique playing style. Little by little, Eiichirou's skills begin to improve, and he hopes to stand on equal footing with tennis' best players.

[Written by MAL Rewrite]





StudioStudio Pierrot

SourceManga

ThemeSchool
DemographicShounen",Shounen,Finished,25.0,24.0,137K
283,Girls Bravo: First Season,AIC Spirits,"Harem, Isekai, School","Comedy, Fantasy, Romance, Ecchi",Manga,6.4,2004.0,"Small for his age, Yukinari has been bullied and abused by girls all his life. Now in high school, he has developed a rare condition: whenever girls touch him, or even come close, he breaks out in hives. Imagine his surprise, when he is suddenly transported to the city of Seiren on a mystic world invisibly orbiting the Earth, and populated with vast numbers of women and very few men. Fortunately, he has a new friend, Miharu-chan, whose touch inexplicably doesn't affect him.

(Source: ANN)





StudioAIC Spirits

SourceManga

ThemesHaremIsekaiSchool
DemographicShounen",Shounen,Finished,11.0,23.0,136K
284,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,Manglobe,Super Power,"Action, Supernatural",Original,7.49,2013.0,"Kyousuke Hyoubu, an ESPer who was betrayed many years ago, is now one of the most powerful ESPers—and also a fugitive. However, behind that glare lies a kind heart. His main mission is to save ESPers who are mistreated by humans, even if that be by force. Through his methods, he has saved many ESPer lives and gained the loyalty of those he has saved. The name of his group: P.A.N.D.R.A.

(Source: ANN)





StudioManglobe

SourceOriginal

ThemeSuper Power
DemographicShounen",Shounen,Finished,12.0,24.0,136K
285,Kono Oto Tomare! 2nd Season,Platinum Vision,"Music, Performing Arts, School","Drama, Romance",Manga,8.43,2019.0,"The Tokise High School Koto Club has courageously pushed through their fractured and unsynchronized performance at the Kanto Region Traditional Japanese Music Festival. Club members Chika Kudou, Satowa Houzuki, Takezou Kurata, Hiro Kurusu, Kouta Mizuhara, Saneyasu Adachi, and Michitaka Sakai are devastated to learn the negative results of their performance, leaving them crushed. Nonetheless, the group recognizes their potential and enthusiastically agree to collectively sharpen their skills, improve their flaws, and develop higher caliber playing to succeed in the upcoming national qualifiers in winter.

With the help of their now willing club advisor Suzuka Takinami, the group's goal gradually becomes achievable as they begin to grasp the foundations of good music and refine their koto-playing abilities, with the suggestion of performing more often to gain what they lack most—experience.

However, as their journey to nationals is underway, the koto club members face challenges that obstruct their focus and progress. Not only does the threat of other powerhouse schools and musicians remain, but the high school issues of budding romance and soon-to-be-graduating seniors also begin to push the limits of the determined group of teenagers and the future of the koto club.

[Written by MAL Rewrite]





StudioPlatinum Vision

SourceManga

ThemesMusicPerforming ArtsSchool
DemographicShounen",Shounen,Finished,13.0,23.0,135K
286,Gin no Saji 2nd Season,A-1 Pictures,School,"Comedy, Slice, of, Life",Manga,8.28,2014.0,"As the new semester begins at Ooezo Agricultural High School, Hachiken is now used to the tough lifestyle of a rural, agricultural high school. While Hachiken still wonders what he will do in the future, he continues to discover both the harsh and the beautiful realities of the countryside.

(Source: ANN)





StudioA-1 Pictures

SourceManga

ThemeSchool
DemographicShounen",Shounen,Finished,11.0,24.0,134K
287,Gunjou no Magmell,Pierrot Plus,Super Power,"Action, Adventure, Fantasy",Manga,6.09,2019.0,"A new era of exploration begins with the sudden appearance of a new continent known as Magmell. Magmell's vast trove of never-before-seen natural resources spurs on the exploration of its vast landscape. However, the unknown is not always docile. In order to sustain the expeditions, people known as ""anglers"" specialize in dealing with Magmell's dangerous wildlife. One such angler is the highly-skilled and experienced Inyou, who performs search and rescue operations for clients with the help of his assistant, Zero.

[Written by MAL Rewrite]






StudioPierrot Plus

SourceManga

ThemeSuper Power
DemographicShounen",Shounen,Finished,13.0,24.0,133K
288,Zombie-Loan,XEBEC M2,Shounen,"Action, Horror, Supernatural",Manga,6.85,2007.0,"Do you know when you are going to die? Michiru Kita does, as she has the ability to see a ""ring of death"" on the necks of those around her—and the darker the ring, the closer one is to death. 

One day, she notices that two boys in her class, Chika Akatsuki and Shito Tachibana, have completely black rings. Seeking to warn them of their impending demise, she stumbles onto their secret: they are already dead, but are kept alive due to a contract with Zombie-Loan, a mysterious loan office. Of course, nothing comes without a price, as the boys must hunt down and kill zombies in order to pay off their debt. And once they learn about Michiru's ""Shinigami Eyes,"" they drag her into their crazy world.

[Written by MAL Rewrite]





StudioXEBEC M2

SourceManga

DemographicShounen",Shounen,Finished,11.0,23.0,132K
289,Mahou Sensei Negima!,Xebec,"Harem, School, Super Power","Comedy, Fantasy, Romance, Supernatural, Ecchi",Manga,6.95,2005.0,"10-year-old Negi Springfield is a wizard-in-training, and needs only to pass one more test in order to become a Master Wizard. Unfortunately, his final task is a bizarre one—to become a English teacher at an all-females boarding school. As soon as he arrives, he completely embarrasses one of his students, Asuna Kagurazaka, and replaces the teacher she loves, which garners her hatred. To make matters worse, Asuna learns that Negi is a wizard, and promises to tell unless he helps her out. But unfortunately, circumstances force them to work together to do many things, from fighting evil wizards to helping the class pass their final exam, with a lot of humor, magic, and romances thrown in.

(Source: ANN, edited)





StudioXebec

SourceManga

ThemesHaremSchoolSuper Power
DemographicShounen",Shounen,Finished,26.0,23.0,131K
290,Medaka Box Abnormal,Asahi Production,"Martial Arts, School, Super Power","Action, Comedy, Ecchi",Manga,7.42,2012.0,"After the defeat of Myouri Unzen at the hands of Medaka Kurokami and her Student Council, peace has returned to Hakoniwa Academy—at least, for a short while. Soon, Medaka, Zenkichi Hitoyoshi, Kouki  Akune, and Mogana Kikaijima find themselves wrapped up in another sinister scheme, known as the ""Flask Plan,"" led by the school's principal himself.

However, the council's first problem is to deal with a whole new group of superhuman students calling themselves the ""Thirteen Party,"" led by the egotistical but powerful Oudo Miyakonojou. With the mysterious Flask Plan, Oudo's tyranny, and the resurfacing of an old enemy, the state of Hakoniwa Academy is far from tranquil, and Medaka and her companions have their hands full as things only get a lot more abnormal. 

[Written by MAL Rewrite]





StudiosAsahi ProductionGainax

SourceManga

ThemesMartial ArtsSchoolSuper Power
DemographicShounen",Shounen,Finished,12.0,24.0,131K
291,Days (TV),MAPPA,"School, Team Sports",Sports,Manga,7.17,2016.0,"The series is about two boys named Tsukushi and Jin. Tsukushi is a boy with no special talent or traits while Jin is considered a soccer genius. On one stormy night, Jin meets Tsukushi, and they get dragged into the world of soccer.

(Source: MAL News)





StudioMAPPA

SourceManga

ThemesSchoolTeam Sports
DemographicShounen",Shounen,Finished,24.0,24.0,131K
292,Arslan Senki (TV): Fuujin Ranbu,LIDENFILMS,"Historical, Military","Action, Adventure, Drama, Fantasy, Supernatural",Manga,7.51,2016.0,"Continuing on his quest to retake Ecbatana, Prince Arslan and his company march toward the city. But upon receiving news that the neighboring Kingdom of Turan is launching an assault on the Parsian stronghold at Peshawar Citadel, the prince is forced to turn back in order to defend the fortress. Amid holding off the invading forces, the Parsian army is met by an unexpected visitor.

As Arslan returns to Peshawar, Prince Hermes takes a slight detour from his clash against his cousin to search for the legendary sword Rukhnabad, which would grant him the right to rule and take back what he believes is rightfully his. However, after unearthing the lost artifact, the blade is stolen by the Temple Knights of Lusitania, prompting the masked warrior to give chase. Meanwhile in Ecbatana, the captive King Andragoras III finds an opportunity to strike and begins to make his move.

As the separate sides of the Parsian royal conflict clash, Arslan's right to the throne falls under attack. But no matter the obstacles in their way, the young prince and his loyal band of warriors charge forward to restore Pars to its former glory.

[Written by MAL Rewrite]





StudioLIDENFILMS

SourceManga

ThemesHistoricalMilitary
DemographicShounen",Shounen,Finished,8.0,24.0,130K
293,Mashiro no Oto,Shin-Ei Animation,"Music, School","Drama, Slice, of, Life",Manga,7.55,2021.0,"Setsu Sawamura runs away from his small home village following the death of his grandfather, the legendary shamisen master Matsugorou Sawamura. On his deathbed, Matsugorou told Setsu to give up the shamisen if he was only going to imitate others instead of playing in his own way. Grieving, Setsu heads for Tokyo, hoping that the big city can inspire him to discover his own unique playing style. But Tokyo defies his expectations by drowning out all other sounds with the deafening noise of its city life. 

Concerned about her son, Setsu's rich and successful mother, Umeko, waltzes back into his life and forces him to enroll in Umezono Academy. At the school, he meets Shuri Maeda, a girl who is fascinated by the Tsugaru shamisen and wishes to perform a song her grandmother once heard a long time ago. Shuri starts up a shamisen appreciation club and convinces Setsu to teach the members how to play the instrument. As he becomes more involved with the club, will Setsu be able to recover his love for the shamisen and discover the unique sound he lacks?

[Written by MAL Rewrite]





StudioShin-Ei Animation

SourceManga

ThemesMusicSchool
DemographicShounen",Shounen,Finished,12.0,24.0,127K
294,Sakigake!! Cromartie Koukou,Production I.G,"Delinquents, Gag Humor, School",Comedy,Manga,7.91,2003.0,"Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there?

Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc.

[Written by MAL Rewrite]






StudioProduction I.G

SourceManga

ThemesDelinquentsGag HumorSchool
DemographicShounen",Shounen,Finished,26.0,12.0,125K
295,Karakai Jouzu no Takagi-san 3,Shin-Ei Animation,"Iyashikei, Romantic Subtext, School","Comedy, Slice, of, Life",Manga,8.51,2022.0,"As summer break comes to an end, Nishikata is stoked to try out his newest pranks and finally outdo his classmate Takagi once and for all. Despite his losing streak, he is slowly getting to know the unrelenting workings of her crafty mind. However, he soon realizes that Takagi's motivations behind her teasing may not be what he initially assumed. One thing is certain, though: each fun-filled day of strategizing and competing brings the two closer than ever.

[Written by MAL Rewrite]





StudioShin-Ei Animation

SourceManga

ThemesIyashikeiRomantic SubtextSchool
DemographicShounen",Shounen,Finished,12.0,24.0,125K
296,Sunabouzu,Gonzo,Shounen,"Action, Adventure, Comedy, Sci-Fi, Ecchi",Manga,7.4,2004.0,"The Great Kanto Desert, a sweltering wasteland of nothing but ruins and sand, is all that remains of post-apocalyptic Japan. The once fair population has been left to cling to the inhospitable dunes for survival. At least, that is the case for normal people. For those who have spent a little too long in the Kanto sun, the desert offers a wondrous opportunity to make a name for themselves.

One such person is the masked handyman ""Sunabouzu,"" or Desert Punk, who has forged a legendary reputation for always finishing his jobs, no matter the nature or cost. Cunning and ruthless, he has become a force of crude destruction to the other desert people. However, the ""Vixen of the Desert,"" Junko Asagiri, discovers that Sunabouzu is not without his weaknesses—he is easily swayed by his insatiable lust for large-breasted desert babes. 

Following their chaotic adventures through the Kanto Desert, Sunabouzu features a bizarre cast of personalities who entertain themselves with senseless violence and perversion in a world long destroyed by their forefathers. And just like them, they have not learned a damn thing.

[Written by MAL Rewrite]





StudioGonzo

SourceManga

DemographicShounen",Shounen,Finished,24.0,24.0,125K
297,Hikaru no Go,Studio Pierrot,Strategy Game,"Comedy, Supernatural",Manga,8.08,2001.0,"While searching through his grandfather's attic, Hikaru Shindou stumbles upon an old go board. Touching it, he is greeted by a mysterious voice, and soon after falls unconscious. When he regains his senses, he discovers that the voice is still present and belongs to Sai Fujiwara no, the spirit of an ancient go expert. A go instructor for the Japanese Emperor in the Heian Era, Sai's passion for the game transcends time and space, allowing him to continue playing his beloved game as a ghostly entity. Sai's ultimate goal is to master a divine go technique that no player has achieved so far, and he seeks to accomplish this by playing the board game through Hikaru.

Despite having no interest in board games, Hikaru reluctantly agrees to play, executing moves as instructed by Sai. However, when he encounters the young go prodigy Akira Touya, a passion for the game is slowly ignited within him. Inspired by his newfound rival, Hikaru's journey into the world of go is just beginning.

[Written by MAL Rewrite]





StudioStudio Pierrot

SourceManga

ThemeStrategy Game
DemographicShounen",Shounen,Finished,75.0,23.0,125K
298,Yu☆Gi☆Oh! 5D's,Gallop,Strategy Game,Action,Manga,7.42,2008.0,"Yuusei Fudou is out to get back what was stolen from him.

The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City.

In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes.

[Written by MAL Rewrite]





StudioGallop

SourceManga

ThemeStrategy Game
DemographicShounen",Shounen,Finished,154.0,24.0,125K
299,Yowamushi Pedal: Grande Road,TMS Entertainment,Shounen,Sports,Manga,8.08,2014.0,"Second season of the Yowamushi Pedal series.





StudioTMS Entertainment

SourceManga

DemographicShounen",Shounen,Finished,24.0,23.0,124K
300,Zoku Sayonara Zetsubou Sensei,Shaft,"Gag Humor, Parody, School",Comedy,Manga,7.91,2008.0,"More crazy antics abound as Nozomu Itoshiki (a.k.a Zetsubou-sensei), who is the worlds most negative person, tries to teach class 2-F about how life is filled with despair and darkness. A harder task than it first may seem, with his students being far from ordinary themselves, including the likes of the most positive girl he has ever met, his very own stalker, a foreign exchange student with split personalities and a perfectionist acting class president, due to the fact the real class president can't be seen by anyone, among others. 

(Source: ANN)





StudioShaft

SourceManga

ThemesGag HumorParodySchool
DemographicShounen",Shounen,Finished,13.0,25.0,123K
